,Code,Intervention,LIC.original.UC,LIC.PIN,LIC.Coverage,LMIC.original.UC,LMIC.PIN,LMIC.Coverage,LIC.PIN.million,LMIC.PIN.million,Unit Cost,UC Source(s),PIN,PIN Source(s),Coverage,Coverage Source(s)
21,C20,"School-based education on sexual health, nutrition, and healthy lifestyle",3.76,63237939,0.33,3.96,303387269,0.33,63.237939,303.387269,DCP3 volume 8 package costs,NA,Population age 10-19 (GBD 2016) times the proportion enrolled in secondary school (World Bank),"http://ghdx.healthdata.org/gbd-2016
https://data.worldbank.org/indicator/SE.SEC.NENR",Expert opinion,NA
22,C21.1,"Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",0.4,277383324,0.77,0.4,810555156,0.77,277.383324,810.555156,Not sure where this cost comes from...,https://gh.bmj.com/content/1/1/e000021#DC1,WHO estimates of population requiring preventive chemotherapy,https://www.who.int/neglected_diseases/preventive_chemotherapy/lf/en/,"WHO coverage by country, aggregated",https://www.who.int/neglected_diseases/preventive_chemotherapy/lf/en/
23,C21.2,"Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",0.41536,95031139,0.78,0.41536,74789314,0.99,95.031139,74.789314,"Based on cost data collected in savannah foci in Ghana, it was estimated that the economic cost of annual community-directed treatment with ivermectin (CDTI) is $41,536 per target population of 100,000 individuals (overall population) per year (2012 prices)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4166981/,WHO estimates of population requiring preventive chemotherapy,https://www.who.int/neglected_diseases/preventive_chemotherapy/lf/en/,"WHO coverage by country, aggregated",https://www.who.int/neglected_diseases/preventive_chemotherapy/lf/en/
24,C21.3,"Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",0.53,132632285,0.52,0.53,49391247,0.52,132.632285,49.391247,Costs from Table 2. Assuming STH treatment (Albendazole) is school-based delivery,https://www.clinicalkey.com/#!/content/playContent/1-s2.0-S2214109X15000479?returnurl=https:%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2214109X15000479%3Fshowall%3Dtrue&referrer=https:%2F%2Fwww.ncbi.nlm.nih.gov%2F,WHO estimates of population requiring preventive chemotherapy,https://www.who.int/neglected_diseases/preventive_chemotherapy/lf/en/,"WHO coverage by country, aggregated",https://www.who.int/neglected_diseases/preventive_chemotherapy/lf/en/
25,C21.4,"Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",1.71,293848855,0,1.71,479039515,0,293.848855,479.039515,Costs from Table 2. Assuming schisto treatment (Praziquantel) is community-based delivery,https://www.clinicalkey.com/#!/content/playContent/1-s2.0-S2214109X15000479?returnurl=https:%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2214109X15000479%3Fshowall%3Dtrue&referrer=https:%2F%2Fwww.ncbi.nlm.nih.gov%2F,WHO estimates of population requiring preventive chemotherapy,https://www.who.int/neglected_diseases/preventive_chemotherapy/lf/en/,"WHO coverage by country, aggregated",https://www.who.int/neglected_diseases/preventive_chemotherapy/lf/en/
26,C21.5,"Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",0.62,141276903,0.75,0.62,91138670,0.75,141.276903,91.13867,"For example, azythromycin (250 mg capsules) is now being produced in India at a price of US$0.5, whereas prices in Kenya are as high as US$7.5. 
Tetracycline tube $0.12",https://www.tandfonline.com/doi/full/10.1080/09286580590932761,WHO estimates of population requiring preventive chemotherapy,https://www.who.int/neglected_diseases/preventive_chemotherapy/lf/en/,"WHO coverage by country, aggregated",https://www.who.int/neglected_diseases/preventive_chemotherapy/lf/en/
27,C21.6,"Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",NA,NA,NA,1.19,2497293,0,NA,2.497293,Not costed for LMIs. Unit cost is an average of interventions C21.1-21.5,NA,Prevalent foodborne trematode infections cases (GBD 2016),http://ghdx.healthdata.org/gbd-2016,Expert opinion,NA
28,C22,School based HPV vaccination for girls,9.14,8429081,0,14.15,22113422,0,8.429081,22.113422,"DCP3 volume 8 package costs:
2 * HPV dose ($4.50) at 2016 mean Gavi prices + 5 mins nurse time",https://www.unicef.org/supply/files/HPV.pdf,Females age 10-14 divided by 5 to estimate of annual cohort to vaccinate (GBD 2016),http://ghdx.healthdata.org/gbd-2016,Vaccine coverage,http://thelancet.com/pdfs/journals/langlo/PIIS2214-109X(16)30099-7.pdf
29,C23,Adolescent-friendly health services including: provision of condoms to prevent STIs; provision of reversible contraception; treatment of injury in general and abuse in particular; and screening and treatment for STIs,5.22,100492529,0.333333333,5.5,360097478,0.333333333,100.492529,360.097478,DCP3 volume 8 package costs,NA,Population age 10-19 (GBD 2016) multiplied by the proportion attending health facilities (Nigeria 2012 DHS),"http://ghdx.healthdata.org/gbd-2016
https://dhsprogram.com/what-we-do/survey/survey-display-528.cfm",Based on expert opinion,NA
30,C24,Life skills training in schools to build social and emotional competencies,3.76,63237939,0.333333333,3.96,303387269,0.333333333,63.237939,303.387269,DCP3 volume 8 package costs,NA,Population age 10-19 times the proportion enrolled in secondary school (World Bank),https://data.worldbank.org/indicator/SE.SEC.NENR,Expert opinion,NA
31,C25,Education campaigns for the prevention of gender-based violence,15.35,44339054,0.39,15.35,136568388,0.5,44.339054,136.568388,"Group counselling with media: Average cost of group counseling for Expected Date of Delivery (EDD) meetings (22.71 BDT), Women Support Group meetings (14.25 BDT), MNCH committee meetings (17.83 BDT), and spouse forum meetings (6.62 BDT).",https://resource-allocation.biomedcentral.com/articles/10.1186/1478-7547-11-28,Female population 15-49 years (GBD 2016) divided by 5 (assuming intervention every 5 years),http://ghdx.healthdata.org/gbd-2016,"Table 22: ANC4 (% with 4+ visits) (Guttmacher ""Adding it up"" report 2014)",https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology
32,C26,"In countries where it is a public health concern, prevention of FGM (may be for daughters of women of reproductive age)",15.35,58896276,0.39,15.35,171715047,0.5,58.896276,171.715047,"Group counselling with media: Average cost of group counseling for Expected Date of Delivery (EDD) meetings (22.71 BDT), Women Support Group meetings (14.25 BDT), MNCH committee meetings (17.83 BDT), and spouse forum meetings (6.62 BDT).",https://resource-allocation.biomedcentral.com/articles/10.1186/1478-7547-11-28,Female population age 15-49 in countries where FGM is prevalent (GBD 2016),http://ghdx.healthdata.org/gbd-2016,"Table 22: ANC4 (% with 4+ visits) (Guttmacher ""Adding it up"" report 2014)",https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology
33,C27.1,"Provision of iron and folic acid supplementation to pregnant women, and provision of food or caloric supplementation to pregnant women in food insecure households",4.235,40367692,0.39,4.235,85725346,0.5,40.367692,85.725346,"This program cost is in the upper range of costs of iron-supplementation programs, which was US$3.17
to US$5.30 per recipient per year. (avg=4.235)",https://journals.sagepub.com/doi/pdf/10.1177/15648265060274S406,"Table 5: Incidence of pregnancy (Guttmacher ""Adding it up"" report 2014)",https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology,"Table 22: ANC4 (% with 4+ visits) (Guttmacher ""Adding it up"" report 2014)",https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology
34,C27.2,"Provision of iron and folic acid supplementation to pregnant women, and provision of food or caloric supplementation to pregnant women in food insecure households",25,7485051.887,0.39,25,25632317.69,0.5,7.485051887,25.63231769,"Balanced Energy Protein supplementation (pregnancy) from Web Appendix Panel 14
Coverted using Niger",https://www.sciencedirect.com/science/article/pii/S0140673613609964?via%3Dihub#ecomp10,"Table 5: Incidence of pregnancy (Guttmacher ""Adding it up"" report 2011) * proportion with low BMI (Countdown to 2015 report)","https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology
http://countdown2030.org/2015/countdown-data","Table 22: ANC4 (% with 4+ visits) (Guttmacher ""Adding it up"" report 2014)",https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology
35,C28,"Community-based HIV testing and counseling (for example, mobile units and venue-based testing), with appropriate referral or linkage to care and immediate initiation of lifelong ART",20.83,30736563,0.16,20.83,40316814,0.03,30.736563,40.316814,Table 4: Average of all mobile HCT $14.91 per client tested and $26.75 per client for stand-alone HCT.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3225204/pdf/nihms316018.pdf,Population age 14-49 living in generalised epidemic countries (GBD 2016) who don't go to helath facility (Nigeria 2012 DHS) and not receiving home-based testing (assumed 50%),"http://ghdx.healthdata.org/gbd-2016
https://dhsprogram.com/what-we-do/survey/survey-display-528.cfm",HIV testing/counseling coverage (WHO GHO),
36,C29,"Household HIV testing and counseling in high-prevalence settings, with appropriate referral or linkage to care and immediate initiation of lifelong ART",5.88,30736563,0.16,5.88,40316814,0.03,30.736563,40.316814,"The program cost was $2.60 for each of the 6750 community members, $5.88 for each person tested, and $84 per positive case detected.",https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-3156.2009.02304.x,Population age 14-49 living in generalised epidemic countries (GBD 2016) who don't go to helath facility (Nigeria 2012 DHS) and receiving home-based testing (assumed 50%),"http://ghdx.healthdata.org/gbd-2016
https://dhsprogram.com/what-we-do/survey/survey-display-528.cfm","HIV testing/counseling coverage, Ethiopia (WHO GHO)",
37,C3,Management of labour and delivery in low risk women by skilled attendants,8,27325553,0.5,8,58108505,0.62,27.325553,58.108505,The cost of accessing home-delivery care was Rs 379 (US$ 8),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2761777/,"Derived from Table 5: incidence of pregnancy minus Table 23: estimated incidence of high-risk pregnancy (Guttmacher ""Adding it up"" report 2014)",https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology,Countdown to 2015 report: skilled birth attendance,http://countdown2030.org/2015/countdown-data
38,C30,"Provision of condoms to key populations, including sex workers, men who have sex with men, people who inject drugs, transgender populations, and prisoners",1.54,8261988.134,0,1.54,5160552.192,0,8.261988134,5.160552192,The cost per condom distributed by the condom promotion and distribution component was $1.54.,https://journals.lww.com/stdjournal/Fulltext/2006/10001/From_Trial_Intervention_to_Scale_Up__Costs_of_an.9.aspx,"Population age 14-49 living in generalised epidemic countries (GBD 2016). This is adjusted by the estimates from Table 29 on % high-rsk women aged 15-49 and assume the percentage of men at high risk is twice as the women’s percentage. These percentages are then averaged. This is then adjusted by Table 30: 64% not using condoms (Guttmacher ""Adding it up"" report 2014)","http://ghdx.healthdata.org/gbd-2016
https://www.guttmacher.org/report/adding-it-costs-and-benefits-investing-sexual-and-reproductive-health-2014-methodology",Expert opinion,NA
39,C31,Provision of harm reduction services such as safe injection equipment and opioid substitution therapy to people who inject drugs,9778,2771859,0.1,9778,11939490,0.2,2.771859,11.93949,Table 3: Only needle/syringe costs + capital costs + international stuff costs. This is 42% of the program costs.,doi:10.1111/j.1360-0443.2009.02755.x ,Prevalence of drug user disorders (GBD 2016),http://ghdx.healthdata.org/gbd-2016,Expert opinion,NA
40,C32,Routine contact tracing to identify individuals exposed to TB and link them to care,6.6,1207369,0.56,6.6,4690082,0.54,1.207369,4.690082,Table 4: The total cost incurred on a single contact tracing procedure was MYR 21.03 (USD 6.60),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3725910/pdf/40064_2012_Article_34.pdf,Incidence of TB (GBD 2016),http://ghdx.healthdata.org/gbd-2016,TB treatment coverage (WHO GHO),https://apps.who.int/gho/data/node.imr.TB_1?lang=en
41,C33.1,"For malaria due to P. vivax, test for G6PD deficiency; if normal, add chloroquine or chloroquine plus 14-day course of primaquine",0.92,103804357.7,0.19,0.92,164201517.1,0.49,103.8043577,164.2015171,"MSH Prices:
2500 mg Chloroquine for a course 0.35 USD ($2.1 USD for 100 TAB-CAP of 150 mg) + 0.57 USD for 14 day course primaquine 30 mg per day (20.23 USD for 1000 TAB-CAP of 15 mg)
",https://apps.who.int/medicinedocs/documents/s21982en/s21982en.pdf,Normal G6PD patients: Malaria incidence (GBD 2016) times proportion of non-G6pd deficient individuals in the population.,http://ghdx.healthdata.org/gbd-2016,WHO malaria Report p.41,https://www.who.int/malaria/publications/world-malaria-report-2015/report/en/
42,C33.2,"For malaria due to P. vivax, test for G6PD deficiency; if normal, add chloroquine or chloroquine plus 14-day course of primaquine",0.35,5459580.264,0.19,0.35,8252076.926,0.49,5.459580264,8.252076926,"MSH Prices:
2500 mg Chloroquine for a course 0.35 USD ($2.1 USD for 100 TAB-CAP of 150 mg)
",https://apps.who.int/medicinedocs/documents/s21982en/s21982en.pdf,Normal G6PD patients: Malaria incidence (GBD 2016) times proportion of G6pd deficient individuals in the population.,http://ghdx.healthdata.org/gbd-2016,WHO malaria Report p.41,https://www.who.int/malaria/publications/world-malaria-report-2015/report/en/
43,C34,Conduct larviciding and water-management programs in high malaria transmission areas where mosquito breeding sites can be identified and regularly targeted,1.594,86284727.71,0.19,1.594,237710078.4,0.49,86.28472771,237.7100784,"Table 10, average economic cost under high-price larvicide conditions. ",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3233614/pdf/1475-2875-10-338.pdf,Assume 10% of population living in high-transmission countries,http://ghdx.healthdata.org/gbd-2016,WHO malaria Report p.41,https://www.who.int/malaria/publications/world-malaria-report-2015/report/en/
44,C35.1,"In all malaria-endemic countries, diagnosis with rapid test or microscopy (including speciation) followed by treatment with ACTs (or current first-line combination)",1.29,227053297.6,0.65,1.29,338257779.7,0.8,227.0532976,338.2577797,Table 3 unit costs per malaria test for RDT,https://malariajournal.biomedcentral.com/articles/10.1186/1475-2875-10-372/tables/3,Incidence of malaria (GBD 2016) assuming 95%/97% uncomplicated (LI/LMI). Assuming 44% test positive rate. Control settings.,http://ghdx.healthdata.org/gbd-2016,WHO malaria Report p.28-30,https://www.who.int/malaria/publications/world-malaria-report-2015/report/en/
45,C35.2,"In all malaria-endemic countries, diagnosis with rapid test or microscopy (including speciation) followed by treatment with ACTs (or current first-line combination)",1.53,8857477.657,0.65,1.53,41924007.06,0.8,8.857477657,41.92400706,Table 3 unit costs per malaria test for microscopy,https://malariajournal.biomedcentral.com/articles/10.1186/1475-2875-10-372/tables/3,Incidence of malaria (GBD 2016) assuming 95%/97% uncomplicated (LI/LMI). Assuming 44% test positive rate. Elimination Settings.,http://ghdx.healthdata.org/gbd-2016,WHO malaria Report p.41,https://www.who.int/malaria/publications/world-malaria-report-2015/report/en/
46,C35.3,"In all malaria-endemic countries, diagnosis with rapid test or microscopy (including speciation) followed by treatment with ACTs (or current first-line combination)",5.96,67470481.72,0.19,5.96,133823988.9,0.49,67.47048172,133.8239889,Provider programme cost per patient of ArtemetherLumefantrine from Table 2,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.0030373&type=printable,Incidence of malaria (GBD 2016) assuming 95%/97% uncomplicated (LI/LMI). Assuming diagnosis available 65%/80% (LI/LMI).,http://ghdx.healthdata.org/gbd-2016,WHO malaria Report p.41,https://www.who.int/malaria/publications/world-malaria-report-2015/report/en/
47,C36,"In high malaria transmission settings where rapid tests and microscopy are unavailable, presumptive treatment of febrile illness with ACTs (non-severe cases) or ACTs plus antibiotics (severe cases)",3.05,36330259.39,0.19,3.05,33455997.24,0.49,36.33025939,33.45599724,"Unit cost of presumptive diagnosis $0.62
Average cost of AL dose was US$1.38. 
The average cost of antibiotic/analgesic dose was US$1.05 ",https://malariajournal.biomedcentral.com/articles/10.1186/1475-2875-10-372/tables/3,"Incidence of malaria (GBD 2016), assuming 95%/97% of cases are uncomplicated (LI/LMI) and 35%/20% diagnostics unavailable (LI/LMI).",http://ghdx.healthdata.org/gbd-2016,WHO malaria Report p.41,https://www.who.int/malaria/publications/world-malaria-report-2015/report/en/
48,C37,"In high malaria transmission settings, intermittent preventive treatment in infancy (except where seasonal malaria chemoprophylaxis is being provided)",0.384,26000137.9,0.36,0.384,52943834.3,0.5,26.0001379,52.9438343,"In the United Republic of Tanzania, the cost per dose of IPTi delivered was roughly US$ 0.128 * 3 doses",https://www.scielosp.org/article/bwho/2009.v87n2/123-129/en/,Population 2-11 months (GBD 2016) in high-transmission settings,http://ghdx.healthdata.org/gbd-2016,WHO malaria report p.26,https://www.who.int/malaria/publications/world-malaria-report-2015/report/en/
49,C38,"In low malaria transmision settings, addition of single low-dose primaquine to first-line treatment",0.2,21849,0.19,0.2,3134,0.49,0.021849,0.003134,"MSH Prices:
15 mg per dose $0.02 USD 
",https://apps.who.int/medicinedocs/documents/s21982en/s21982en.pdf,Malaria incidence in low-transmission countries (GBD 2016),http://ghdx.healthdata.org/gbd-2016,WHO malaria report,https://www.who.int/malaria/publications/world-malaria-report-2015/report/en/
50,C39,"In low malaria transmission settings, case investigation, reactive case detection, proactive case detection (including mass screening and treatment)",6.24,109245,0.19,6.24,15670,0.49,0.109245,0.01567,"Page 4 Results: $6.24 per child screened
",https://malariajournal.biomedcentral.com/articles/10.1186/1475-2875-10-273,Assume 5 household contacts per index case of incident malaria (per GBD 2016) in low-transmission settings,http://ghdx.healthdata.org/gbd-2016,WHO malaria report,https://www.who.int/malaria/publications/world-malaria-report-2015/report/en/
