"","Code","Intervention","Platform","HPP","Urgency","Objective","Original Unit Cost","Original Currency","Year","Country","Base population","Multiplier","Multiplier type","Multiplier2","Multiplier2 type","Multipliers","PIN","Coverage","Target Coverage","ID","exchange","country","year","n","cpi_study","cpi_end","cpi_adjust","global_inflation","exchange_end","gni","gni_selected_country","gni_adjust","tradable_uc","nontradable_uc","adjusted_uc"
"12","C16.4","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","6.1","USD","2016.0","LMIC","5.8334371E7","1.0","Fertility, LMI","1.0","NA","Fertility","58334371","0.81","0.8",12,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,6.1861282884422,0,6.1861282884422
"13","C16.5","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.34","USD","2016.0","LMIC","5.8334371E7","1.0","Fertility, LMI","1.0","NA","Fertility","58334371","0.8","0.8",13,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,0.344800593126287,0,0.344800593126287
"14","C16.6","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.1","USD","2016.0","LMIC","5.8334371E7","1.0","Fertility, LMI","1.0","NA","Fertility","58334371","0.73","0.8",14,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,0.10141193915479,0,0.10141193915479
"15","C16.7","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.78","USD","2016.0","LMIC","5.7866881E7","1.0","NA","1.0","NA","None","57866881","0.81","0.8",15,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,0.791013125407363,0,0.791013125407363
"16","C16.8","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.3","USD","2016.0","LMIC","5.5016713E7","1.0","NA","1.0","NA","None","55016713","0.81","0.8",16,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,0.30423581746437,0,0.30423581746437
"17","C17","In high malaria transmission settings, indoor residual spraying (IRS) in selected areas with high transmission and entomologic data on IRS suspectibility","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.73","USD","2012.0","Kenya","2.671721029E9","0.889726419","Malaria endemic","1.0","NA","Population","2377100784","0.5","0.8",17,84.5296017573529,"Kenya","2012.0",54,124.715258324443,159.647316938312,1.28009450554153,1.1191837358014,101.504369498594,1371.233332,2524.623902,1.84113370283796,0.245101238140507,1.00293398220609,1.2480352203466
"18","C18","Education of schoolchildren on oral health","Community",0,"Time-bound (non-urgent)","Reduction in disability","0.66","USD","2016.0","LMIC","377641472.4","0.87786","Primary school","1.0","NA","Population","3.31516343E8","0.33","0.8",18,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,0.200795639526484,0.462,0.662795639526484
"19","C19","Vision prescreening by teachers; vision tests and provision of ready-made glasses on-site by eye specialists","Community",0,"Time-bound (non-urgent)","Reduction in disability","0.79","USD","2016.0","LMIC","377641472.4","0.87786","Primary school","1.0","NA","Population","3.31516343E8","0.33","0.8",19,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,0.240346295796853,0.553,0.793346295796853
"20","C2","Counseling of mothers on providing thermal care for preterm newborns (delayed bath and skin-to-skin contact)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","8.38","BDT","2011.0","Bangladesh","3156179.0","1.0","Fertility, LMI","1.0","NA","Fertility","3156179.0","0.3755","0.8",20,74.1524,"Bangladesh","2011.0",53,111.39516515524,152.529140322278,1.36926176382713,1.17315521153989,78.4680916666667,1287.265014,2524.623902,1.96123088450534,0.0397736580584215,0.200753983853623,0.240527641912045
"21","C20","School-based education on sexual health, nutrition, and healthy lifestyle","Community",1,"Time-bound (non-urgent)","Reduction in disability","3.96","USD","2016.0","LMIC","514424967.8","0.58976","Secondary school","1.0","NA","Population","3.03387269E8","0.33","0.8",21,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,1.20477383715891,2.772,3.97677383715891
"22","C21.1","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections","Community",1,"Time-bound (non-urgent)","Reduction in disability","0.4","USD","2012.0","India","8.10555156E8","1.0","NA","1.0","NA","None","810555156","0.77","0.8",22,53.4372333333333,"India","2012.0",54,118.995736617717,155.94504973946,1.31050955414012,1.1191837358014,67.1953128073894,1679.056423,2524.623902,1.50359682224925,0.134302048296168,0.438767657015459,0.573069705311627
"23","C21.2","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections","Community",1,"Time-bound (non-urgent)","Reduction in disability","0.41536","USD","2012.0","Ghana","7.4789314E7","1.0","NA","1.0","NA","None","74789314","0.99","0.8",23,1.79581666666667,"Ghana","2012.0",54,116.475091832939,206.685516654195,1.7745040025437,1.1191837358014,3.9098,2302.11084,2524.623902,1.09665610279651,0.139459246950741,0.259882843194446,0.399342090145187
"24","C21.3","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections","Community",1,"Time-bound (non-urgent)","Reduction in disability","0.53","USD","2014.0","Cote d'Ivoire","4.9391247E7","1.0","NA","1.0","NA","None","49391247","0.52","0.8",24,494.414952864937,"Cote d'Ivoire","2014.0",56,109.513495413213,111.685945921178,1.01983728580453,1.05138798142095,593.008170424934,1490.703041,2524.623902,1.69357935991492,0.167170689045931,0.534245985685436,0.701416674731366
"25","C21.4","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections","Community",1,"Time-bound (non-urgent)","Reduction in disability","1.71","USD","2014.0","Cote d'Ivoire","4.79039515E8","1.0","NA","1.0","NA","None","479039515","0.0","0.8",25,494.414952864937,"Cote d'Ivoire","2014.0",56,109.513495413213,111.685945921178,1.01983728580453,1.05138798142095,593.008170424934,1490.703041,2524.623902,1.69357935991492,0.539362034468946,1.72369931230584,2.26306134677479
"26","C21.5","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections","Community",1,"Time-bound (non-urgent)","Reduction in disability","0.62","USD","2012.0","India","9.113867E7","1.0","NA","1.0","NA","None","91138670","0.75","0.8",26,53.4372333333333,"India","2012.0",54,118.995736617717,155.94504973946,1.31050955414012,1.1191837358014,67.1953128073894,1679.056423,2524.623902,1.50359682224925,0.208168174859061,0.680089868373961,0.888258043233022
"27","C21.6","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections","Community",1,"Time-bound (non-urgent)","Reduction in disability","1.19","USD","2016.0","LMIC","2497293.0","1.0","NA","1.0","NA","None","2497293","0.0","0.8",27,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,0.362040622782601,0.833,1.1950406227826
"28","C22","School based HPV vaccination for girls","Community",0,"Time-bound (non-urgent)","Mortality reduction: age 5+; group II-III causes","14.15","USD","2016.0","LMIC","2.2113422E7","1.0","NA","1.0","NA","None","2.2113422E7","0.0","0.8",28,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,4.30493681712084,9.905,14.2099368171208
"29","C23","Adolescent-friendly health services including: provision of condoms to prevent STIs; provision of reversible contraception; treatment of injury in general and abuse in particular; and screening and treatment for STIs","Community",0,"Time-bound (non-urgent)","Reduction in disability","5.5","USD","2016.0","LMIC","514424968.6","0.7","Attending health facilities","1.0","NA","Population","3.60097478E8","0.3333333333","0.8",29,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,1.67329699605404,3.85,5.52329699605404
"30","C24","Life skills training in schools to build social and emotional competencies","Community",0,"Time-bound (non-urgent)","Non-health outcomes","3.96","USD","2016.0","LMIC","514424967.8","0.58976","Secondary school","1.0","NA","Population","3.03387269E8","0.3333333333","0.8",30,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,1.20477383715891,2.772,3.97677383715891
"31","C25","Education campaigns for the prevention of gender-based violence","Community",0,"Time-bound (non-urgent)","Reduction in disability","15.35","BDT","2011.0","Bangladesh","1.36568388E8","1.0","NA","1.0","NA","None","1.36568388E8","0.5","0.8",31,74.1524,"Bangladesh","2011.0",53,111.39516515524,152.529140322278,1.36926176382713,1.17315521153989,78.4680916666667,1287.265014,2524.623902,1.96123088450534,0.0728550896416193,0.367729552762902,0.440584642404521
"32","C26","In countries where it is a public health concern, prevention of FGM (may be for daughters of women of reproductive age)","Community",0,"Time-bound (non-urgent)","Reduction in disability","15.35","BDT","2011.0","Bangladesh","1.71715047E8","1.0","NA","1.0","NA","None","1.71715047E8","0.5","0.8",32,74.1524,"Bangladesh","2011.0",53,111.39516515524,152.529140322278,1.36926176382713,1.17315521153989,78.4680916666667,1287.265014,2524.623902,1.96123088450534,0.0728550896416193,0.367729552762902,0.440584642404521
"33","C27.1","Provision of iron and folic acid supplementation to pregnant women, and provision of food or caloric supplementation to pregnant women in food insecure households","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","4.235","USD","2005.0","Peru","8.5725346E7","1.0","Fertility, LMI","1.0","NA","Fertility","85725346","0.5","0.8",33,3.29584166666667,"Peru","2005.0",47,87.1253772370504,121.99696310584,1.40024602446095,1.54597918198005,3.37506158720665,6567.73998,2524.623902,0.38439766338009,1.96416655070565,1.55819275176699,3.52235930247264
"34","C27.2","Provision of iron and folic acid supplementation to pregnant women, and provision of food or caloric supplementation to pregnant women in food insecure households","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","25.0","PPP","2010.0","Bangladesh","8.5725346E7","1.0","Fertility, LMI","0.299005123770413","LBW","Both","25632317.69","0.5","0.8",34,69.6492916666667,"Bangladesh","2010.0",52,100,152.529140322278,1.52529140322278,1.21232662515201,78.4680916666667,1287.265014,2524.623902,1.96123088450534,0.130546190364081,0.667154629682183,0.797700820046264
"35","C28","Community-based HIV testing and counseling (for example, mobile units and venue-based testing), with appropriate referral or linkage to care and immediate initiation of lifelong ART","Community",1,"Time-bound (non-urgent)","Mortality reduction: age 5+; group I causes","20.83","USD","2007.0","Kenya","2.6877876E8","0.3","Not attending health facilities","0.5","Non-homebased","Population","40316814","0.03","0.8",35,67.3176381242857,"Kenya","2007.0",49,69.7546612757899,159.647316938312,2.28869747223218,1.4246097187023,101.504369498594,1371.233332,2524.623902,1.84113370283796,8.90238613217067,40.7478932915944,49.6502794237651
"36","C29","Household HIV testing and counseling in high-prevalence settings, with appropriate referral or linkage to care and immediate initiation of lifelong ART","Community",0,"Time-bound (non-urgent)","Mortality reduction: age 5+; group I causes","5.88","USD","2007.0","Kenya","2.6877876E8","0.3","Not attending health facilities","0.5","Homebased","Population","40316814","0.03","0.8",36,67.3176381242857,"Kenya","2007.0",49,69.7546612757899,159.647316938312,2.28869747223218,1.4246097187023,101.504369498594,1371.233332,2524.623902,1.84113370283796,2.51301154379086,11.5025258067487,14.0155373505395
"37","C3","Management of labour and delivery in low risk women by skilled attendants","Community",1,"Urgent","Mortality reduction; under-5","8.0","USD","2008.0","India","5.8108505E7","1.0","Fertility, LMI","1.0","NA","Fertility","58108505","0.62","0.8",37,43.5051833333333,"India","2008.0",50,80.5305542396968,155.94504973946,1.9364705882353,1.35931234443884,67.1953128073894,1679.056423,2524.623902,1.50359682224925,3.26234962665322,10.5568014736946,13.8191511003478
"38","C30","Provision of condoms to key populations, including sex workers, men who have sex with men, people who inject drugs, transgender populations, and prisoners","Community",1,"Time-bound (non-urgent)","Mortality reduction: age 5+; group I causes","1.54","USD","2001.0","Tanzania","2.6877876E8","0.025","High-risk","0.64","Condom-use","Population","3951048.0","0.0","0.8",38,876.411666666667,"Tanzania","2001.0",43,54.3693638718957,166.198224024889,3.05683591252756,1.76030083562665,2177.08595381578,1030.71271,2524.623902,2.4493963036509,0.813258986059511,3.24924545604746,4.06250444210697
"39","C31","Provision of harm reduction services such as safe injection equipment and opioid substitution therapy to people who inject drugs","Health center",1,"Chronic","Mortality reduction: age 5+; group II-III causes","12.09","LMIC","2016.0","LMIC","1.193949E7","1.0","NA","1.0","NA","None","11939490","0.01","0.8",39,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,0.0547391012754813,0.125946284734618,0.1806853860101
"40","C32","Routine contact tracing to identify individuals exposed to TB and link them to care","Community",0,"Chronic","Mortality reduction: age 5+; group I causes","6.6","USD","2011.0","Malaysia","4690082.0","1.0","NA","1.0","NA","None","4690082","0.54","0.8",40,3.06000301052058,"Malaysia","2011.0",53,103.174470921513,115.147475420763,1.11604619236049,1.17315521153989,4.14830066287879,10903.27251,2524.623902,0.231547354217234,2.32284731884899,0.880674854688427,3.20352217353742
"41","C33.1","For malaria due to P. vivax, test for G6PD deficiency; if normal, add chloroquine or chloroquine plus 14-day course of primaquine","Community",0,"Urgent","Mortality reduction; under-5","0.92","USD","2016.0","LMIC","1.72453594E8","0.952149","Non-G6pd","1.0","NA","Population","164201517.1","0.49","0.8",41,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,0.932989840224069,0,0.932989840224069
"42","C33.2","For malaria due to P. vivax, test for G6PD deficiency; if normal, add chloroquine or chloroquine plus 14-day course of primaquine","Community",0,"Urgent","Mortality reduction; under-5","0.35","USD","2016.0","LMIC","1.72453594E8","0.047851","G6pd","1.0","NA","Population","8252076.926","0.49","0.8",42,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,0.354941787041765,0,0.354941787041765
"43","C34","Conduct larviciding and water-management programs in high malaria transmission areas where mosquito breeding sites can be identified and regularly targeted","Community",0,"Time-bound (non-urgent)","Mortality reduction; under-5","1.594","USD","2006.0","Kenya","2.671721029E9","0.889726419","Malaria endemic","0.1","Assumption","Population","237710078.4","0.49","0.8",43,72.1008350178621,"Kenya","2006.0",48,63.5526356768982,159.647316938312,2.51204871738065,1.48518345750596,101.504369498594,1371.233332,2524.623902,1.84113370283796,0.710214729379348,3.66568632416543,4.37590105354477
"44","C35.1","In all malaria-endemic countries, diagnosis with rapid test or microscopy (including speciation) followed by treatment with ACTs (or current first-line combination)","Community",1,"Urgent","Mortality reduction; under-5","1.29","USD","2011.0","Uganda","1.72453594E8","0.889726419","Malaria endemic","2.204545455","Assumptions","Population","338257779.7","0.8","0.8",44,2522.80203252264,"Uganda","2011.0",53,116.564349617452,158.52031485061,1.35993822614592,1.17315521153989,3420.09800724736,739.9446253,2524.623902,3.41190923709518,0.454011066865939,3.0906442771388,3.54465534400473
"45","C35.2","In all malaria-endemic countries, diagnosis with rapid test or microscopy (including speciation) followed by treatment with ACTs (or current first-line combination)","Community",1,"Urgent","Mortality reduction; under-5","1.53","USD","2011.0","Uganda","1.72453594E8","0.110273581","Malaria elimination setting","2.204545455","Assumptions","Population","41924007.06","0.8","0.8",45,2522.80203252264,"Uganda","2011.0",53,116.564349617452,158.52031485061,1.35993822614592,1.17315521153989,3420.09800724736,739.9446253,2524.623902,3.41190923709518,0.538478242096811,3.66564786358322,4.20412610568003
"46","C35.3","In all malaria-endemic countries, diagnosis with rapid test or microscopy (including speciation) followed by treatment with ACTs (or current first-line combination)","Community",1,"Urgent","Mortality reduction; under-5","5.96","USD","2005.0","Tanzania","1.72453594E8","0.97","Uncomplicated","0.8","Diagnostic available","Population","133823988.9","0.49","0.8",46,1128.93417916192,"Tanzania","2005.0",47,66.3325465984336,166.198224024889,2.50553058110411,1.54597918198005,2177.08595381578,1030.71271,2524.623902,2.4493963036509,2.76421077738033,13.2768824972186,16.0410932745989
"47","C36","In high malaria transmission settings where rapid tests and microscopy are unavailable, presumptive treatment of febrile illness with ACTs (non-severe cases) or ACTs plus antibiotics (severe cases)","Community",1,"Urgent","Mortality reduction; under-5","3.05","USD","2011.0","Uganda","1.72453594E8","0.97","Uncomplicated","0.2","Diagnostic unavailable","Population","33455997.24","0.49","0.8",47,2522.80203252264,"Uganda","2011.0",53,116.564349617452,158.52031485061,1.35993822614592,1.17315521153989,3420.09800724736,739.9446253,2524.623902,3.41190923709518,1.073437018559,7.30733724439793,8.38077426295693
"48","C37","In high malaria transmission settings, intermittent preventive treatment in infancy (except where seasonal malaria chemoprophylaxis is being provided)","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","0.384","USD","2006.0","Tanzania","5.9505746E7","0.889726419","Malaria endemic","1.0","NA","Population","52943834.3","0.5","0.8",48,1251.89997292515,"Tanzania","2006.0",48,71.1423013909823,166.198224024889,2.33613786418717,1.48518345750596,2177.08595381578,1030.71271,2524.623902,2.4493963036509,0.171093134304686,0.884465394164423,1.05555852846911
"49","C38","In low malaria transmision settings, addition of single low-dose primaquine to first-line treatment","Community",0,"Urgent","Mortality reduction; under-5","0.02","USD","2016.0","LMIC","3134.0","1.0","NA","1.0","NA","None","3134","0.49","0.8",49,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,0.020282387830958,0,0.020282387830958
"50","C39","In low malaria transmission settings, case investigation, reactive case detection, proactive case detection (including mass screening and treatment)","Community",0,"Time-bound (non-urgent)","Mortality reduction; under-5","4.67","USD","2010.0","Kenya","3134.0","5.0","Household members","1.0","NA","Population","15670","0.49","0.8",50,79.2331517045455,"Kenya","2010.0",52,100,159.647316938312,1.59647316938312,1.21232662515201,101.504369498594,1371.233332,2524.623902,1.84113370283796,1.69846960183796,7.50039380254321,9.19886340438118
"51","C4","Promotion of breastfeeding or complementary feeding by lay health workers","Community",0,"Time-bound (non-urgent)","Mortality reduction; under-5","8.38","BDT","2011.0","Bangladesh","5.8334371E7","1.0","Fertility, LMI","1.0","NA","Fertility","58334371","0.33","0.8",51,74.1524,"Bangladesh","2011.0",53,111.39516515524,152.529140322278,1.36926176382713,1.17315521153989,78.4680916666667,1287.265014,2524.623902,1.96123088450534,0.0397736580584215,0.200753983853623,0.240527641912045
"52","C40","In the Sahel region, seasonal malaria chemoprophylaxis","Community",1,"Time-bound (non-urgent)","Mortality reduction; under-5","22.53","USD","2015.0","Ghana","3.6435397E7","1.0","NA","1.0","NA","None","36435397","0.5","0.8",52,3.668025,"Ghana","2015.0",57,175.970507396014,206.685516654195,1.17454634707087,1.02836380250302,3.9098,2302.11084,2524.623902,1.09665610279651,6.9507109411179,19.0580119428937,26.0087228840116
"53","C41","Mass drug administration in low malaria transmission settings (including high-risk groups in geographic or demographic clusters)","Community",0,"Time-bound (non-urgent)","Mortality reduction; under-5","0.7","USD","2012.0","Sierra Leone","2.94620246E8","1.0","NA","1.0","NA","None","294620246","0.49","0.8",53,4344.03764170108,"Sierra Leone","2012.0",54,113.823784722222,148.69140625,1.3063298379409,1.1191837358014,6289.94008459513,609.8580722,2524.623902,4.13969088396695,0.783428615060982,0,0.783428615060982
"54","C42","Management of lymphedema","Community",0,"Chronic","Reduction in disability","14.35","USD","2016.0","LMIC","5.8935023E7","1.0","NA","1.0","NA","None","58935023","0.08","0.8",54,67.19531281,"LMIC","2016.0",58,152.690592483955,152.690592483955,1,1.0141193915479,67.19531281,2524.623902,2524.623902,1,4.36578398061372,10.045,14.4107839806137
"55","C43.1","Early detection and treatment of Chagas disease, human African trypanosomiasis, leprosy, and leishmaniases","Community",1,"Time-bound (non-urgent)","Reduction in disability","259.3","USD","2004.0","Colombia","763062.0","1.0","NA","1.0","NA","None","763062","0.5","0.8",55,2628.6129025,"Colombia","2004.0",46,75.8409400661986,126.425618178278,1.66698379619142,1.59811358115263,3054.12167321081,7880.797694,2524.623902,0.320351314679998,124.317255477863,83.4254861423278,207.742741620191
"56","C43.2","Early detection and treatment of Chagas disease, human African trypanosomiasis, leprosy, and leishmaniases","Community",1,"Time-bound (non-urgent)","Reduction in disability","600.4","USD","2007.0","Angola","379.0","1.0","NA","1.0","NA","None","379","0.5","0.8",56,76.70614275,"Angola","2007.0",49,68.292701659282,213.197420100571,3.12181850945407,1.4246097187023,163.656434116579,5983.47358,2524.623902,0.421932823508849,256.600702532658,259.469758047468,516.070460580126
"57","C43.3","Early detection and treatment of Chagas disease, human African trypanosomiasis, leprosy, and leishmaniases","Community",1,"Time-bound (non-urgent)","Reduction in disability","195.6","USD","2010.0","Nigeria","284731.0","1.0","NA","1.0","NA","None","284731","0.5","0.8",57,150.298025,"Nigeria","2010.0",52,100,183.853081818277,1.83853081818277,1.21232662515201,253.492,3331.449808,2524.623902,0.757815379939832,71.1393263639198,113.107195841427,184.246522205347
"58","C43.4","Early detection and treatment of Chagas disease, human African trypanosomiasis, leprosy, and leishmaniases","Community",1,"Time-bound (non-urgent)","Reduction in disability","26.7","USD","2003.0","Afghanistan","1985384.0","1.0","NA","1.0","NA","None","1985384","0.5","0.8",58,48.7627535833333,"Afghanistan","2003.0",45,63.5233948093157,138.708665508891,2.18358395242046,1.64668398742473,67.8660857692308,626.3033517,2524.623902,4.03099216241988,13.1899387392721,118.202474741224,131.392413480497
