"","Code","Intervention","HPP","Include","Platform","Urgency","Objective","PIN","Coverage","adjusted_uc"
"16","C16.8","Childhood vaccination series (diptheria, pertussis, tetanus, polio, BCG, measles, hepatitis B, Hib, rubella)",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","55016713","0.81",0.30423581746437
"17","C17","In high malaria transmission settings, indoor residual spraying (IRS) in selected areas with high transmission and entomologic data on IRS suspectibility",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","2377100784","0.5",1.2480352203466
"18","C18","Education of schoolchildren on oral health",0,FALSE,"Community","Time-bound (non-urgent)","Reduction in disability","3.31516343E8","0.33",0.662795639526484
"19","C19","Vision prescreening by teachers; vision tests and provision of ready-made glasses on-site by eye specialists",0,FALSE,"Community","Time-bound (non-urgent)","Reduction in disability","3.31516343E8","0.33",0.793346295796853
"20","C2","Counseling of mothers on providing thermal care for preterm newborns (delayed bath and skin-to-skin contact)",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","3156179.0","0.3755",0.240527641912045
"21","C20","School-based education on sexual health, nutrition, and healthy lifestyle",1,TRUE,"Community","Time-bound (non-urgent)","Reduction in disability","3.03387269E8","0.33",3.97677383715891
"22","C21.1","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",1,TRUE,"Community","Time-bound (non-urgent)","Reduction in disability","810555156","0.77",0.573069705311627
"23","C21.2","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",1,TRUE,"Community","Time-bound (non-urgent)","Reduction in disability","74789314","0.99",0.399342090145187
"24","C21.3","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",1,TRUE,"Community","Time-bound (non-urgent)","Reduction in disability","49391247","0.52",0.701416674731366
"25","C21.4","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",1,TRUE,"Community","Time-bound (non-urgent)","Reduction in disability","479039515","0.0",2.26306134677479
"26","C21.5","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",1,TRUE,"Community","Time-bound (non-urgent)","Reduction in disability","91138670","0.75",0.888258043233022
"27","C21.6","Mass drug administration for lymphatic filariasis, onchocerciasis, schistosomiasis, soil-transmitted helminthiases and trachoma, and foodborne trematode infections",1,TRUE,"Community","Time-bound (non-urgent)","Reduction in disability","2497293","0.0",1.1950406227826
"28","C22","School based HPV vaccination for girls",0,FALSE,"Community","Time-bound (non-urgent)","Mortality reduction: age 5+; group II-III causes","2.2113422E7","0.0",14.2099368171208
"29","C23","Adolescent-friendly health services including: provision of condoms to prevent STIs; provision of reversible contraception; treatment of injury in general and abuse in particular; and screening and treatment for STIs",0,FALSE,"Community","Time-bound (non-urgent)","Reduction in disability","3.60097478E8","0.3333333333",5.52329699605404
"30","C24","Life skills training in schools to build social and emotional competencies",0,FALSE,"Community","Time-bound (non-urgent)","Non-health outcomes","3.03387269E8","0.3333333333",3.97677383715891
"31","C25","Education campaigns for the prevention of gender-based violence",0,FALSE,"Community","Time-bound (non-urgent)","Reduction in disability","1.36568388E8","0.5",0.440584642404521
"32","C26","In countries where it is a public health concern, prevention of FGM (may be for daughters of women of reproductive age)",0,FALSE,"Community","Time-bound (non-urgent)","Reduction in disability","1.71715047E8","0.5",0.440584642404521
"33","C27.1","Provision of iron and folic acid supplementation to pregnant women, and provision of food or caloric supplementation to pregnant women in food insecure households",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","85725346","0.5",3.52235930247264
"34","C27.2","Provision of iron and folic acid supplementation to pregnant women, and provision of food or caloric supplementation to pregnant women in food insecure households",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","25632317.69","0.5",0.797700820046264
"35","C28","Community-based HIV testing and counseling (for example, mobile units and venue-based testing), with appropriate referral or linkage to care and immediate initiation of lifelong ART",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction: age 5+; group I causes","40316814","0.03",49.6502794237651
"36","C29","Household HIV testing and counseling in high-prevalence settings, with appropriate referral or linkage to care and immediate initiation of lifelong ART",0,FALSE,"Community","Time-bound (non-urgent)","Mortality reduction: age 5+; group I causes","40316814","0.03",14.0155373505395
"37","C3","Management of labour and delivery in low risk women by skilled attendants",1,TRUE,"Community","Urgent","Mortality reduction; under-5","58108505","0.62",13.8191511003478
"38","C30","Provision of condoms to key populations, including sex workers, men who have sex with men, people who inject drugs, transgender populations, and prisoners",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction: age 5+; group I causes","3951048.0","0.0",4.06250444210697
"39","C31","Provision of harm reduction services such as safe injection equipment and opioid substitution therapy to people who inject drugs",1,TRUE,"Health center","Chronic","Mortality reduction: age 5+; group II-III causes","11939490","0.01",0.1806853860101
"40","C32","Routine contact tracing to identify individuals exposed to TB and link them to care",0,FALSE,"Community","Chronic","Mortality reduction: age 5+; group I causes","4690082","0.54",3.20352217353742
"41","C33.1","For malaria due to P. vivax, test for G6PD deficiency; if normal, add chloroquine or chloroquine plus 14-day course of primaquine",0,FALSE,"Community","Urgent","Mortality reduction; under-5","164201517.1","0.49",0.932989840224069
"42","C33.2","For malaria due to P. vivax, test for G6PD deficiency; if normal, add chloroquine or chloroquine plus 14-day course of primaquine",0,FALSE,"Community","Urgent","Mortality reduction; under-5","8252076.926","0.49",0.354941787041765
"43","C34","Conduct larviciding and water-management programs in high malaria transmission areas where mosquito breeding sites can be identified and regularly targeted",0,FALSE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","237710078.4","0.49",4.37590105354477
"44","C35.1","In all malaria-endemic countries, diagnosis with rapid test or microscopy (including speciation) followed by treatment with ACTs (or current first-line combination)",1,TRUE,"Community","Urgent","Mortality reduction; under-5","338257779.7","0.8",3.54465534400473
"45","C35.2","In all malaria-endemic countries, diagnosis with rapid test or microscopy (including speciation) followed by treatment with ACTs (or current first-line combination)",1,TRUE,"Community","Urgent","Mortality reduction; under-5","41924007.06","0.8",4.20412610568003
"46","C35.3","In all malaria-endemic countries, diagnosis with rapid test or microscopy (including speciation) followed by treatment with ACTs (or current first-line combination)",1,TRUE,"Community","Urgent","Mortality reduction; under-5","133823988.9","0.49",16.0410932745989
"47","C36","In high malaria transmission settings where rapid tests and microscopy are unavailable, presumptive treatment of febrile illness with ACTs (non-severe cases) or ACTs plus antibiotics (severe cases)",1,TRUE,"Community","Urgent","Mortality reduction; under-5","33455997.24","0.49",8.38077426295693
"48","C37","In high malaria transmission settings, intermittent preventive treatment in infancy (except where seasonal malaria chemoprophylaxis is being provided)",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","52943834.3","0.5",1.05555852846911
"49","C38","In low malaria transmision settings, addition of single low-dose primaquine to first-line treatment",0,FALSE,"Community","Urgent","Mortality reduction; under-5","3134","0.49",0.020282387830958
"50","C39","In low malaria transmission settings, case investigation, reactive case detection, proactive case detection (including mass screening and treatment)",0,FALSE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","15670","0.49",9.19886340438118
"51","C4","Promotion of breastfeeding or complementary feeding by lay health workers",0,FALSE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","58334371","0.33",0.240527641912045
"52","C40","In the Sahel region, seasonal malaria chemoprophylaxis",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","36435397","0.5",26.0087228840116
"53","C41","Mass drug administration in low malaria transmission settings (including high-risk groups in geographic or demographic clusters)",0,FALSE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","294620246","0.49",0.783428615060982
"54","C42","Management of lymphedema",0,FALSE,"Community","Chronic","Reduction in disability","58935023","0.08",14.4107839806137
"55","C43.1","Early detection and treatment of Chagas disease, human African trypanosomiasis, leprosy, and leishmaniases",1,TRUE,"Community","Time-bound (non-urgent)","Reduction in disability","763062","0.5",207.742741620191
"56","C43.2","Early detection and treatment of Chagas disease, human African trypanosomiasis, leprosy, and leishmaniases",1,TRUE,"Community","Time-bound (non-urgent)","Reduction in disability","379","0.5",516.070460580126
"57","C43.3","Early detection and treatment of Chagas disease, human African trypanosomiasis, leprosy, and leishmaniases",1,TRUE,"Community","Time-bound (non-urgent)","Reduction in disability","284731","0.5",184.246522205347
"58","C43.4","Early detection and treatment of Chagas disease, human African trypanosomiasis, leprosy, and leishmaniases",1,TRUE,"Community","Time-bound (non-urgent)","Reduction in disability","1985384","0.5",131.392413480497
"59","C43.5","Early detection and treatment of Chagas disease, human African trypanosomiasis, leprosy, and leishmaniases",1,TRUE,"Community","Time-bound (non-urgent)","Reduction in disability","194311","0.5",335.472737217838
"60","C44","Total Community Treatment for yaws",0,FALSE,"Community","Time-bound (non-urgent)","Reduction in disability","58915","0.5",8.1349025479921
"61","C45","Identify and refer patients with high risk including pregnant women, young children, and those with underlying medical conditions",0,FALSE,"Community","Time-bound (non-urgent)","Mortality reduction: age 5+; group I causes","2671721030","0.08",0.0903812235717933
"62","C46","Provide advice and guidance on how to recognise early symptoms and signs and when to seek medical attention",0,FALSE,"Community","Time-bound (non-urgent)","Mortality reduction: age 5+; group I causes","2671721030","0.08",0.0903812235717933
"63","C48","Self-managed treatment of migraine",0,FALSE,"Community","Chronic","Reduction in disability","386443135","0.5",0.176492616647682
"64","C49","Early identification of lead poisoning and counseling of families in remediation strategies for sources of environmental exposure",0,FALSE,"Community","Time-bound (non-urgent)","Reduction in disability","8015163.09","0.08",0.440584642404521
"65","C5.1","Tetanus toxoid immunisation for school-aged children",1,TRUE,"Community","Time-bound (non-urgent)","Mortality reduction: age 5+; group I causes","331516343","0.33",0.532244983256116
"66","C5.2","Tetanus toxoid immunisation among women attending antenatal care",1,TRUE,"Health center","Time-bound (non-urgent)","Mortality reduction; under-5","85725346","0.65",0.436071338365598
"67","C50","Parent training for high-risk families, including nurse home visitation for child maltreatment",0,FALSE,"Community","Time-bound (non-urgent)","Reduction in disability","158880","0.08",5.10039737681381
"68","C51","WASH behavior change interventions, such as community-led total sanitation",0,FALSE,"Community","Time-bound (non-urgent)","Mortality reduction; under-5","534344205.8","0.62",0.787970844803488
"69","C52","Cardiac and pulmonary rehabilitation programs",0,FALSE,"Community","Chronic","Reduction in disability","58935023","0.08",14.35
"70","C53","Early childhood development rehabilitation interventions, including motor, sensory, and language stimulation",0,FALSE,"Community","Time-bound (non-urgent)","Reduction in disability","58935023","0.08",14.35
"71","C54","Functional interventions for self-care for individuals with disabilities",0,FALSE,"Community","Chronic","Reduction in disability","58935023","0.08",14.35
"72","C55","Individualized environmental modifications (for example, adaptations to a house)",0,FALSE,"Community","Chronic","Reduction in disability","58935023","0.08",14.35
"73","C56","Pressure area prevention and supportive seating interventions for wheelchair users",0,FALSE,"Community","Chronic","Reduction in disability","58935023","0.08",14.35
"74","C57","Provision and training in the use of basic assistive products (such as canes, braille displays, and other aides) and compensatory strategies needed to communicate and perform activities of daily living",0,FALSE,"Community","Chronic","Reduction in disability","58935023","0.08",14.35
"75","C58","Training and retraining for disorders of speech, swallowing, communication, and cognition",0,FALSE,"Community","Chronic","Reduction in disability","58935023","0.08",14.35
"76","C59","Training, retraining, and exercise programs that address musculoskeletal injuries and disorders, including chronic low back and neck pain",0,FALSE,"Community","Chronic","Reduction in disability","58935023","0.08",14.35
"77","C6","HIV education and counseling for pregnant women, sex workers, people who inject drugs, men who have sex with men, and transgender individuals, and PLHIV and their partners",0,FALSE,"Community","Time-bound (non-urgent)","Mortality reduction: age 5+; group I causes","70006421","0.03",0.489788303508406
"78","C7","In high malaria transmission settings, intermittent preventive treatment in pregnancy",1,TRUE,"Health center","Chronic","Mortality reduction; under-5","76272105","0.5",1.02279218272409
"79","C8","Management of severe acute malnutrition, including early detection in community settings",1,TRUE,"Community","Urgent","Mortality reduction; under-5","1.3390505E7","0.6612",4.42628231027271
"80","C9","Detection and treatment of childhood infections (iCCM), including referral if danger signs",1,TRUE,"Community","Urgent","Mortality reduction; under-5","2.86345908E8","0.6612",20.1239844522257
"81","C99","Basic neonatal resuscitation following delivery",1,TRUE,"Community","Urgent","Mortality reduction; under-5","2380230.0","0.38",1.72400296563143
"82","FLH1","Detection and management of fetal growth restriction",0,FALSE,"First-level hospital","Chronic","Reduction in disability","2333375.0","0.5",311.436690339076
"83","FLH10","Surgical termination of pregnancy by manual vacuum aspiration and dilation and curettage",1,TRUE,"First-level hospital","Time-bound (non-urgent)","Non-health outcomes","1.5312253E7","0.03",138.042439449437
"84","FLH13","Early detection and treatment of early-stage cervical cancer",1,TRUE,"First-level hospital","Chronic","Mortality reduction: age 5+; group II-III causes","195878.0","0.2",56.2633248641862
"85","FLH15","Tubal ligation",1,TRUE,"First-level hospital","Time-bound (non-urgent)","Non-health outcomes","14719806.5","0.03",138.042439449437
"86","FLH16","Vasectomy",1,TRUE,"First-level hospital","Time-bound (non-urgent)","Non-health outcomes","33068.04","0.03",138.042439449437
"87","FLH17","Referral of cases of treatment failure for drug susceptibility testing; enrollment of those with MDR-TB for treatment per WHO guidelines (either short or long regimen)",1,TRUE,"First-level hospital","Chronic","Mortality reduction: age 5+; group I causes","103182.0","0.54",4482.46617791265
"88","FLH18.1","Evaluation and management of fever in clinically unstable individuals using WHO IMAI guidelines, including empiric parenteral antimicrobials and antimalarials and resuscitative measures for septic shock",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group I causes","2.8736051E7","0.49",55.8295330210434
"89","FLH18.2","Evaluation and management of fever in clinically unstable individuals using WHO IMAI guidelines, including empiric parenteral antimicrobials and antimalarials and resuscitative measures for septic shock",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group I causes","2.8736051E7","0.49",94.0932700360672
"90","FLH18.3","Evaluation and management of fever in clinically unstable individuals using WHO IMAI guidelines, including empiric parenteral antimicrobials and antimalarials and resuscitative measures for septic shock",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group I causes","2.8736051E7","0.49",37.6988350366803
"91","FLH19.1","Management of severe malaria, including early detection and provision of rectal artesunate in community settings followed by parenteral artesunate and full-course of ACT",1,TRUE,"First-level hospital","Urgent","Mortality reduction; under-5","1965971.0","0.49",0.000740890242062005
"92","FLH19.2","Management of severe malaria, including early detection and provision of rectal artesunate in community settings followed by parenteral artesunate and full-course of ACT",1,TRUE,"First-level hospital","Urgent","Mortality reduction; under-5","8622680.0","0.49",146.944246095887
"93","FLH2","Induction of labor post-term",1,TRUE,"First-level hospital","Urgent","Mortality reduction; under-5","8572535.0","0.5",2.8496754902496
"94","FLH20","Management of acute coronary syndromes with aspirin, unfractionated heparin, and generic thrombolytics (when indicated)",0,FALSE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","7449455.0","0.31",1544.76098477995
"95","FLH21.1","Management of acute critical limb ischemia with unfractionated heparin and revascularization where available, with amputation as a last resort",0,FALSE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","4246388.0","0.31",1046.62766340281
"96","FLH21.2","Management of acute critical limb ischemia with unfractionated heparin and revascularization where available, with amputation as a last resort",0,FALSE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","4246388.0","0.31",84.6629690355752
"97","FLH22","Management of acute exacerbations of asthma and COPD using systemic steroids, inhaled beta-agonists, and, if indicated, oral antibiotics and oxygen therapy",0,FALSE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","3.6726611E7","0.08",398.092442230695
"98","FLH23","Medical management of acute heart failure",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","6009450.0","0.31",1159.06480852947
"99","FLH24","Management of bowel obstruction",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","482364.0","0.03",276.084878898875
"100","FLH25","Calcium and vitamin D supplementation for secondary prevention of osteoporosis",0,FALSE,"First-level hospital","Chronic","Reduction in disability","8.3159117E7","0.08",11.2675258719502
"101","FLH26","Combination therapy, including low-dose corticosteroids and generic disease-modifying antirheumatic drugs (including methotrexate), for individuals with moderate to severe rheumatoid arthritis",1,TRUE,"First-level hospital","Chronic","Reduction in disability","5277509.0","0.08",93.9362183656172
"102","FLH27","In settings where sickle cell disease is a public health concern, universal newborn screening followed by standard prophylaxis against bacterial infections and malaria",1,TRUE,"First-level hospital","Time-bound (non-urgent)","Mortality reduction; under-5","5.8334371E7","0.08",10.2978146434797
"103","FLH28","In settings where specific single-gene disorders are a public health concern (for example, thalassemias), retrospective identification of carriers plus prospective (premarital) screening and counseling to reduce rates of conception",0,FALSE,"First-level hospital","Time-bound (non-urgent)","Reduction in disability","2.6098219E7","0.08",94.9353793483812
"104","FLH29.1","Universal newborn screening for congenital endocrine or metabolic disorders (for example, congenital hypothyroidism, phenylketonuria) that have high incidence rates and for which long-term treatment is feasible in limited resource settings",1,TRUE,"First-level hospital","Time-bound (non-urgent)","Reduction in disability","5.8334371E7","0.08",1.02108311888399
"105","FLH29.2","Universal newborn screening for congenital endocrine or metabolic disorders (for example, congenital hypothyroidism, phenylketonuria) that have high incidence rates and for which long-term treatment is feasible in limited resource settings",1,TRUE,"First-level hospital","Time-bound (non-urgent)","Reduction in disability","1013294.0","0.08",1747.94843051241
"106","FLH3","Jaundice management with phototherapy",1,TRUE,"First-level hospital","Urgent","Mortality reduction; under-5","5169.0","0.3755",49.032672581341
"107","FLH30","Management of intoxication/poisoning syndromes using widely available agents; e.g., activated charcoal, naloxone, bicarbonate, antivenin",0,FALSE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","1375135.0","0.08",87.984424677618
"108","FLH31","Appendectomy",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","1.0100939E7","0.03",276.084878898875
"109","FLH32","Assisted vaginal delivery using vacuum extraction or forceps",1,TRUE,"First-level hospital","Urgent","Mortality reduction; under-5","1743255.0","0.03",27.6084878898875
"110","FLH33","Burr hole to relieve acute elevated intracranial pressure",0,FALSE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","620111.0","0.03",276.084878898875
"111","FLH34","Colostomy",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","14661.0","0.03",276.084878898875
"112","FLH35","Escharotomy or fasciotomy",0,FALSE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","54962.0","0.03",276.084878898875
"113","FLH36","Fracture reduction and placement of external fixator and use of traction for fractures",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","3538161.0","0.03",138.042439449437
"114","FLH37","Hernia repair including emergency surgery",1,TRUE,"First-level hospital","Urgent","Reduction in disability","1094767.0","0.03",276.084878898875
"115","FLH38","Hysterectomy for uterine rupture or intractable postpartum hemorrhage",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group I causes","63915.0","0.03",276.084878898875
"116","FLH39","Irrigation and debridement of open fractures",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","990509.0","0.03",276.084878898875
"117","FLH4","Management of eclampsia with magnesium sulfate, including initial stabilization at health centers",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group I causes","1714507.0","0.5",63.3824619717438
"118","FLH40","Management of osteomyelitis, including surgical debridement for refractory cases",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","187141.0","0.03",276.084878898875
"119","FLH41","Management of septic arthritis",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","374283.0","0.03",138.042439449437
"120","FLH42","Relief of urinary obstruction by catheterization or suprapubic cystostomy",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","31194.0","0.03",27.6084878898875
"121","FLH43","Removal of gallbladder including emergency surgery",0,FALSE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","1465926.0","0.03",276.084878898875
"122","FLH44","Repair of perforations (for example, perforated peptic ulcer, typhoid ileal perforation)",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","491930.0","0.03",276.084878898875
"123","FLH46","Basic skin grafting",0,FALSE,"First-level hospital","Urgent","Non-health outcomes","342929.0","0.03",276.084878898875
"124","FLH47","Surgery for filarial hydrocele",0,FALSE,"First-level hospital","Urgent","Reduction in disability","469103.0","0.03",138.042439449437
"125","FLH48","Trauma laparotomy",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","1509335.0","0.03",276.084878898875
"126","FLH49","Trauma-related amputations",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group II-III causes","409816.0","0.03",276.084878898875
"127","FLH50","Tube thoracostomy",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group I causes","3984322.0","0.03",138.042439449437
"128","FLH51","Assessment, provision and training in the use of assistive products, including assistive devices for hearing",0,FALSE,"First-level hospital","Chronic","Reduction in disability","5.8935023E7","0.08",14.35
"129","FLH52","Compression therapy for amputations, burns, and vascular or lymphatic disorders",0,FALSE,"First-level hospital","Chronic","Reduction in disability","5.8935023E7","0.08",14.35
"130","FLH53","Evaluation and acute management of swallowing dysfunction",0,FALSE,"First-level hospital","Chronic","Mortality reduction: age 5+; group II-III causes","5.8935023E7","0.08",14.35
"131","FLH54","Fabrication, fitting, and training in the use of prosthetics, orthotics, and splints",0,FALSE,"First-level hospital","Chronic","Reduction in disability","5.8935023E7","0.08",14.35
"132","FLH55","Initial assessment, and prescription, and provision of individualized interventions for musculoskeletal, cardiopulmonary, neurological, speech and communication, and cognitive deficits, including training in preparation for discharge",0,FALSE,"First-level hospital","Chronic","Reduction in disability","5.8935023E7","0.08",14.35
"133","FLH552","Management of maternal sepsis, including early detection at health centers",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group I causes","5218470.0","0.5",91.798087322916
"134","FLH56","Mobilization activities following acute injury or illness",0,FALSE,"First-level hospital","Chronic","Reduction in disability","5.8935023E7","0.08",14.35
"135","FLH57","Prevention and relief of refractory suffering and of acute pain related to surgery, serious injury, or other serious, complex or life-limiting health problems",1,TRUE,"First-level hospital","Urgent","Non-health outcomes","2.225786E7","0.08",21.3199264047686
"136","FLH7","Management of preterm labor with corticosteroids, including early detection at health centers",1,TRUE,"First-level hospital","Urgent","Mortality reduction; under-5","3156179.0","0.5",36.9950754036674
"137","FLH8","Management of labor and delivery in high risk women, including operative delivery (CEmNOC)",1,TRUE,"First-level hospital","Urgent","Mortality reduction; under-5","9772689.0","0.26",428.393684110782
"138","FLH9","Surgery for ectopic pregnancy",1,TRUE,"First-level hospital","Urgent","Mortality reduction: age 5+; group I causes","291672.0","0.5",38.5365368788203
"139","HC1","Early detection and treatment of neonatal pneumonia with oral antibiotics",1,TRUE,"Health center","Urgent","Mortality reduction; under-5","1.1572202E7","0.6621",6.61112747589519
"140","HC10","Screening and management of diabetes in pregnancy (gestational diabetes or preexisting type II diabetes)",0,FALSE,"Health center","Chronic","Reduction in disability","8.5725346E7","0.31",7.78069142920282
"141","HC11","Management of labor and delivery in low risk women (BEmNOC), including initial treatment of obstetric or delivery complications prior to transfer",1,TRUE,"Health center","Urgent","Mortality reduction; under-5","1.7844152E7","0.26",145.101086553652
"142","HC12","Detection and treatment of childhood infections with danger signs (IMCI)",1,TRUE,"Health center","Urgent","Mortality reduction; under-5","2.86345908E8","0.6621",10.2924195290009
"143","HC13","Among all individuals who are known to be HIV positive, immediate ART initiation with regular monitoring of viral load for adherence and development of resistance",1,TRUE,"Health center","Chronic","Mortality reduction: age 5+; group I causes","1.1139866E7","0.43",121.572361642969
"144","HC14","Psychological treatment for mood, anxiety, ADHD, and disruptive behavior disorders",0,FALSE,"Health center","Chronic","Reduction in disability","2.0442146E7","0.023",71.7694618982325
"145","HC15","Management of complications following FGM",0,FALSE,"Health center","Urgent","Non-health outcomes","8.650346E7","0.5",0.0334177224426555
"146","HC16","Post gender-based violence care, including counseling, provision of emergency contraception, and rape-response referral (medical and judicial)",1,TRUE,"Health center","Time-bound (non-urgent)","Non-health outcomes","4.3387038E7","0.77",5.12326523556118
"147","HC17","Syndromic management of common sexual and reproductive tract infections (for example uretheral discharge, genital ulcer, and others) according to WHO guidelines",1,TRUE,"Health center","Urgent","Reduction in disability","1.98851878E8","0.5",10.6878126504552
"148","HC18","Opportunistic screening for cervical cancer using visual inspection or HPV DNA testing and treatment of precancerous lesions with cryotherapy",0,FALSE,"First-level hospital","Time-bound (non-urgent)","Mortality reduction: age 5+; group II-III causes","7.4093869E7","0.2",4.99221972803444
